pdbID	chainID	DESCRIPTION	VIRUS
7dcc	K	 Spike glycoprotein	SARS-CoV-2
7dcc	I	 Spike glycoprotein	SARS-CoV-2
7dcc	E	 Spike glycoprotein	SARS-CoV-2
7byr	C	 Spike glycoprotein	SARS-CoV-2
7byr	B	 Spike glycoprotein	SARS-CoV-2
7byr	A	 Spike glycoprotein	SARS-CoV-2
7kec	C	 Spike glycoprotein	SARS-CoV-2
7kec	B	 Spike glycoprotein	SARS-CoV-2
7kec	A	 Spike glycoprotein	SARS-CoV-2
7keb	C	 Spike glycoprotein	SARS-CoV-2
7keb	B	 Spike glycoprotein	SARS-CoV-2
7keb	A	 Spike glycoprotein	SARS-CoV-2
7kea	C	 Spike glycoprotein	SARS-CoV-2
7kea	B	 Spike glycoprotein	SARS-CoV-2
7kea	A	 Spike glycoprotein	SARS-CoV-2
7ke9	C	 Spike glycoprotein	SARS-CoV-2
7ke9	B	 Spike glycoprotein	SARS-CoV-2
7ke9	A	 Spike glycoprotein	SARS-CoV-2
7ke8	C	 Spike glycoprotein	SARS-CoV-2
7ke8	B	 Spike glycoprotein	SARS-CoV-2
7ke8	A	 Spike glycoprotein	SARS-CoV-2
7ke7	C	 Spike glycoprotein	SARS-CoV-2
7ke7	B	 Spike glycoprotein	SARS-CoV-2
7ke7	A	 Spike glycoprotein	SARS-CoV-2
7ke6	C	 Spike glycoprotein	SARS-CoV-2
7ke6	B	 Spike glycoprotein	SARS-CoV-2
7ke6	A	 Spike glycoprotein	SARS-CoV-2
7ke4	C	 Spike glycoprotein	SARS-CoV-2
7ke4	B	 Spike glycoprotein	SARS-CoV-2
7ke4	A	 Spike glycoprotein	SARS-CoV-2
7kdl	C	 Spike glycoprotein	SARS-CoV-2
7kdl	B	 Spike glycoprotein	SARS-CoV-2
7kdl	A	 Spike glycoprotein	SARS-CoV-2
7kdk	C	 Spike glycoprotein	SARS-CoV-2
7kdk	B	 Spike glycoprotein	SARS-CoV-2
7kdk	A	 Spike glycoprotein	SARS-CoV-2
7oan	C	 Spike glycoprotein	SARS-CoV-2
7oan	B	 Spike glycoprotein	SARS-CoV-2
7oan	A	 Spike glycoprotein	SARS-CoV-2
7kxk	C	 Spike glycoprotein	SARS-CoV-2
7kxk	B	 Spike glycoprotein	SARS-CoV-2
7kxk	A	 Spike glycoprotein	SARS-CoV-2
7kxj	C	 Spike glycoprotein	SARS-CoV-2
7kxj	B	 Spike glycoprotein	SARS-CoV-2
7kxj	A	 Spike glycoprotein	SARS-CoV-2
7kml	C	 Spike glycoprotein	SARS-CoV-2
7kml	B	 Spike glycoprotein	SARS-CoV-2
7kml	A	 Spike glycoprotein	SARS-CoV-2
7kmk	C	 Spike glycoprotein	SARS-CoV-2
7kmk	B	 Spike glycoprotein	SARS-CoV-2
7kmk	A	 Spike glycoprotein	SARS-CoV-2
7akd	C	 Spike glycoprotein	SARS-CoV-2
7akd	B	 Spike glycoprotein	SARS-CoV-2
7akd	A	 Spike glycoprotein	SARS-CoV-2
7v26	E	 Spike glycoprotein	SARS-CoV-2
7v26	C	 Spike glycoprotein	SARS-CoV-2
7v26	A	 Spike glycoprotein	SARS-CoV-2
7eh5	C	 Spike glycoprotein	SARS-CoV-2
7eh5	B	 Spike glycoprotein	SARS-CoV-2
7eh5	A	 Spike glycoprotein	SARS-CoV-2
7eb5	B	 Spike glycoprotein	SARS-CoV-2
7eb5	A	 Spike glycoprotein	SARS-CoV-2
7eb5	C	 Spike glycoprotein	SARS-CoV-2
7eb4	C	 Spike glycoprotein	SARS-CoV-2
7eb4	B	 Spike glycoprotein	SARS-CoV-2
7eb4	A	 Spike glycoprotein	SARS-CoV-2
7eb3	C	 Spike glycoprotein	SARS-CoV-2
7eb3	B	 Spike glycoprotein	SARS-CoV-2
7eb3	A	 Spike glycoprotein	SARS-CoV-2
7eb0	C	 Spike glycoprotein	SARS-CoV-2
7eb0	B	 Spike glycoprotein	SARS-CoV-2
7eb0	A	 Spike glycoprotein	SARS-CoV-2
7eaz	C	 Spike glycoprotein	SARS-CoV-2
7eaz	B	 Spike glycoprotein	SARS-CoV-2
7eaz	A	 Spike glycoprotein	SARS-CoV-2
7e3l	C	 Spike glycoprotein	SARS-CoV-2
7e3l	B	 Spike glycoprotein	SARS-CoV-2
7e3l	A	 Spike glycoprotein	SARS-CoV-2
7e3k	C	 Spike glycoprotein	SARS-CoV-2
7e3k	B	 Spike glycoprotein	SARS-CoV-2
7e3k	A	 Spike glycoprotein	SARS-CoV-2
7ad1	C	 Spike glycoprotein,Envelope glycoprotein,Spike glycoprotein,Envelope glycoprotein,SARS-CoV-2 S protein	SARS-CoV-2
7ad1	B	 Spike glycoprotein,Envelope glycoprotein,Spike glycoprotein,Envelope glycoprotein,SARS-CoV-2 S protein	SARS-CoV-2
7ad1	A	 Spike glycoprotein,Envelope glycoprotein,Spike glycoprotein,Envelope glycoprotein,SARS-CoV-2 S protein	SARS-CoV-2
7a4n	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
7a4n	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
7a4n	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
7e5s	C	 Spike glycoprotein	SARS-CoV-2
7e5s	B	 Spike glycoprotein	SARS-CoV-2
7e5s	A	 Spike glycoprotein	SARS-CoV-2
7e5r	C	 Spike glycoprotein	SARS-CoV-2
7e5r	B	 Spike glycoprotein	SARS-CoV-2
7e5r	A	 Spike glycoprotein	SARS-CoV-2
7rw2	C	 Spike glycoprotein	SARS-CoV-2
7rw2	B	 Spike glycoprotein	SARS-CoV-2
7rw2	A	 Spike glycoprotein	SARS-CoV-2
7p79	A	 Spike glycoprotein	SARS-CoV-2
7p79	E	 Spike glycoprotein	SARS-CoV-2
7p79	C	 Spike glycoprotein	SARS-CoV-2
7p78	A	 Spike glycoprotein	SARS-CoV-2
7p78	E	 Spike glycoprotein	SARS-CoV-2
7p78	C	 Spike glycoprotein	SARS-CoV-2
7p77	E	 Spike glycoprotein	SARS-CoV-2
7p77	C	 Spike glycoprotein	SARS-CoV-2
7p77	B	 Spike glycoprotein	SARS-CoV-2
7ndd	C	 Spike glycoprotein	SARS-CoV-2
7ndd	B	 Spike glycoprotein	SARS-CoV-2
7ndd	A	 Spike glycoprotein	SARS-CoV-2
7ndc	C	 Spike glycoprotein	SARS-CoV-2
7ndc	B	 Spike glycoprotein	SARS-CoV-2
7ndc	A	 Spike glycoprotein	SARS-CoV-2
7ndb	C	 Spike glycoprotein	SARS-CoV-2
7ndb	B	 Spike glycoprotein	SARS-CoV-2
7ndb	A	 Spike glycoprotein	SARS-CoV-2
7nda	C	 Spike glycoprotein	SARS-CoV-2
7nda	B	 Spike glycoprotein	SARS-CoV-2
7nda	A	 Spike glycoprotein	SARS-CoV-2
7nd9	C	 Spike glycoprotein	SARS-CoV-2
7nd9	B	 Spike glycoprotein	SARS-CoV-2
7nd9	A	 Spike glycoprotein	SARS-CoV-2
7nd8	C	 Spike glycoprotein	SARS-CoV-2
7nd8	B	 Spike glycoprotein	SARS-CoV-2
7nd8	A	 Spike glycoprotein	SARS-CoV-2
7nd7	C	 Spike glycoprotein	SARS-CoV-2
7nd7	B	 Spike glycoprotein	SARS-CoV-2
7nd7	A	 Spike glycoprotein	SARS-CoV-2
7nd6	C	 Spike glycoprotein	SARS-CoV-2
7nd6	B	 Spike glycoprotein	SARS-CoV-2
7nd6	A	 Spike glycoprotein	SARS-CoV-2
7nd5	C	 Spike glycoprotein	SARS-CoV-2
7nd5	B	 Spike glycoprotein	SARS-CoV-2
7nd5	A	 Spike glycoprotein	SARS-CoV-2
7nd4	C	 Spike glycoprotein	SARS-CoV-2
7nd4	B	 Spike glycoprotein	SARS-CoV-2
7nd4	A	 Spike glycoprotein	SARS-CoV-2
7nd3	C	 Spike glycoprotein	SARS-CoV-2
7nd3	B	 Spike glycoprotein	SARS-CoV-2
7nd3	A	 Spike glycoprotein	SARS-CoV-2
7n5h	C	 Spike glycoprotein	SARS-CoV-2
7n5h	B	 Spike glycoprotein	SARS-CoV-2
7n5h	A	 Spike glycoprotein	SARS-CoV-2
7lss	C	 Spike glycoprotein	SARS-CoV-2
7lss	B	 Spike glycoprotein	SARS-CoV-2
7lss	A	 Spike glycoprotein	SARS-CoV-2
7ls9	C	 Spike glycoprotein	SARS-CoV-2
7ls9	B	 Spike glycoprotein	SARS-CoV-2
7ls9	A	 Spike glycoprotein	SARS-CoV-2
7ljr	C	 Spike glycoprotein	SARS-CoV-2
7ljr	B	 Spike glycoprotein	SARS-CoV-2
7ljr	A	 Spike glycoprotein	SARS-CoV-2
7l58	C	 Spike glycoprotein	SARS-CoV-2
7l58	B	 Spike glycoprotein	SARS-CoV-2
7l58	A	 Spike glycoprotein	SARS-CoV-2
7l57	C	 Spike glycoprotein	SARS-CoV-2
7l57	B	 Spike glycoprotein	SARS-CoV-2
7l57	A	 Spike glycoprotein	SARS-CoV-2
7l56	C	 Spike glycoprotein	SARS-CoV-2
7l56	B	 Spike glycoprotein	SARS-CoV-2
7l56	A	 Spike glycoprotein	SARS-CoV-2
7l2f	C	 Spike glycoprotein	SARS-CoV-2
7l2f	B	 Spike glycoprotein	SARS-CoV-2
7l2f	A	 Spike glycoprotein	SARS-CoV-2
7l2e	C	 Spike glycoprotein	SARS-CoV-2
7l2e	B	 Spike glycoprotein	SARS-CoV-2
7l2e	A	 Spike glycoprotein	SARS-CoV-2
7l2d	C	 Spike glycoprotein	SARS-CoV-2
7l2d	B	 Spike glycoprotein	SARS-CoV-2
7l2d	A	 Spike glycoprotein	SARS-CoV-2
7ksg	C	 Spike glycoprotein	SARS-CoV-2
7ksg	B	 Spike glycoprotein	SARS-CoV-2
7ksg	A	 Spike glycoprotein	SARS-CoV-2
7ks9	C	 Spike glycoprotein	SARS-CoV-2
7ks9	B	 Spike glycoprotein	SARS-CoV-2
7ks9	A	 Spike glycoprotein	SARS-CoV-2
7kni	C	 Spike glycoprotein	SARS-CoV-2
7kni	B	 Spike glycoprotein	SARS-CoV-2
7kni	A	 Spike glycoprotein	SARS-CoV-2
7knh	B	 Spike glycoprotein	SARS-CoV-2
7knh	A	 Spike glycoprotein	SARS-CoV-2
7knh	C	 Spike glycoprotein	SARS-CoV-2
7kne	B	 Spike glycoprotein	SARS-CoV-2
7kne	A	 Spike glycoprotein	SARS-CoV-2
7kne	C	 Spike glycoprotein	SARS-CoV-2
7knb	B	 Spike glycoprotein	SARS-CoV-2
7knb	A	 Spike glycoprotein	SARS-CoV-2
7knb	C	 Spike glycoprotein	SARS-CoV-2
7kmz	B	 Spike glycoprotein	SARS-CoV-2
7kmz	A	 Spike glycoprotein	SARS-CoV-2
7kmz	C	 Spike glycoprotein	SARS-CoV-2
7kms	B	 Spike glycoprotein	SARS-CoV-2
7kms	C	 Spike glycoprotein	SARS-CoV-2
7kms	A	 Spike glycoprotein	SARS-CoV-2
7kkl	D	 Spike glycoprotein	SARS-CoV-2
7kkl	C	 Spike glycoprotein	SARS-CoV-2
7kkl	A	 Spike glycoprotein	SARS-CoV-2
7kkk	E	 Spike glycoprotein	SARS-CoV-2
7kkk	C	 Spike glycoprotein	SARS-CoV-2
7kkk	A	 Spike glycoprotein	SARS-CoV-2
7b18	C	 Spike glycoprotein	SARS-CoV-2
7b18	B	 Spike glycoprotein	SARS-CoV-2
7b18	A	 Spike glycoprotein	SARS-CoV-2
7a29	C	 Spike glycoprotein	SARS-CoV-2
7a29	B	 Spike glycoprotein	SARS-CoV-2
7a29	A	 Spike glycoprotein	SARS-CoV-2
6zxn	C	 Spike glycoprotein	SARS-CoV-2
6zxn	B	 Spike glycoprotein	SARS-CoV-2
6zxn	A	 Spike glycoprotein	SARS-CoV-2
6zp7	B	 Spike glycoprotein	SARS-CoV-2
6zp7	C	 Spike glycoprotein	SARS-CoV-2
6zp7	A	 Spike glycoprotein	SARS-CoV-2
6zp5	C	 Spike glycoprotein	SARS-CoV-2
6zp5	B	 Spike glycoprotein	SARS-CoV-2
6zp5	A	 Spike glycoprotein	SARS-CoV-2
6zow	a	 Spike glycoprotein	SARS-CoV-2
6zow	B	 Spike glycoprotein	SARS-CoV-2
6zow	C	 Spike glycoprotein	SARS-CoV-2
6zow	A	 Spike glycoprotein	SARS-CoV-2
6zhd	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
6zhd	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
6zhd	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
6zdh	C	 Spike glycoprotein	SARS-CoV-2
6zdh	B	 Spike glycoprotein	SARS-CoV-2
6zdh	A	 Spike glycoprotein	SARS-CoV-2
6z97	C	 Spike glycoprotein,Fibritin	SARS-CoV-2
6z97	B	 Spike glycoprotein,Fibritin	SARS-CoV-2
6z97	A	 Spike glycoprotein,Fibritin	SARS-CoV-2
6z43	C	 Spike glycoprotein	SARS-CoV-2
6z43	B	 Spike glycoprotein	SARS-CoV-2
6z43	A	 Spike glycoprotein	SARS-CoV-2
6xey	C	 Spike glycoprotein	SARS-CoV-2
6xey	B	 Spike glycoprotein	SARS-CoV-2
6xey	A	 Spike glycoprotein	SARS-CoV-2
6vsb	C	 Spike glycoprotein	SARS-CoV-2
6vsb	B	 Spike glycoprotein	SARS-CoV-2
6vsb	A	 Spike glycoprotein	SARS-CoV-2
7fce	C	 Spike glycoprotein	SARS-CoV-2
7fce	B	 Spike glycoprotein	SARS-CoV-2
7fce	A	 Spike glycoprotein	SARS-CoV-2
7fcd	C	 Spike glycoprotein	SARS-CoV-2
7fcd	B	 Spike glycoprotein	SARS-CoV-2
7fcd	A	 Spike glycoprotein	SARS-CoV-2
7cyp	C	 SARS-CoV-2 Spike glycoprotein	SARS-CoV-2
7cyp	B	 SARS-CoV-2 Spike glycoprotein	SARS-CoV-2
7cyp	A	 SARS-CoV-2 Spike glycoprotein	SARS-CoV-2
7cak	C	 Spike glycoprotein	SARS-CoV-2
7cak	B	 Spike glycoprotein	SARS-CoV-2
7cak	A	 Spike glycoprotein	SARS-CoV-2
7cai	C	 Spike glycoprotein	SARS-CoV-2
7cai	B	 Spike glycoprotein	SARS-CoV-2
7cai	A	 Spike glycoprotein	SARS-CoV-2
7sc1	C	 Spike glycoprotein	SARS-CoV-2
7sc1	B	 Spike glycoprotein	SARS-CoV-2
7sc1	A	 Spike glycoprotein	SARS-CoV-2
7s0e	A	 Spike glycoprotein	SARS-CoV-2
7s0d	C	 Spike glycoprotein	SARS-CoV-2
7s0d	B	 Spike glycoprotein	SARS-CoV-2
7s0d	A	 Spike glycoprotein	SARS-CoV-2
7s0c	C	 Spike glycoprotein	SARS-CoV-2
7s0c	A	 Spike glycoprotein	SARS-CoV-2
7s0c	B	 Spike glycoprotein	SARS-CoV-2
7rkv	C	 Spike glycoprotein	SARS-CoV-2
7rkv	B	 Spike glycoprotein	SARS-CoV-2
7rkv	A	 Spike glycoprotein	SARS-CoV-2
7r8o	E	 Spike glycoprotein	SARS-CoV-2
7r8o	B	 Spike glycoprotein	SARS-CoV-2
7r8o	A	 Spike glycoprotein	SARS-CoV-2
7r8n	E	 Spike glycoprotein	SARS-CoV-2
7r8n	B	 Spike glycoprotein	SARS-CoV-2
7r8n	A	 Spike glycoprotein	SARS-CoV-2
7r8m	C	 Spike glycoprotein	SARS-CoV-2
7r8m	B	 Spike glycoprotein	SARS-CoV-2
7r8m	A	 Spike glycoprotein	SARS-CoV-2
7tlb	C	 Spike glycoprotein	SARS-CoV-2
7tlb	B	 Spike glycoprotein	SARS-CoV-2
7tlb	A	 Spike glycoprotein	SARS-CoV-2
7tla	C	 Spike glycoprotein	SARS-CoV-2
7tla	B	 Spike glycoprotein	SARS-CoV-2
7tla	A	 Spike glycoprotein	SARS-CoV-2
7lww	C	 Spike glycoprotein	SARS-CoV-2
7lww	B	 Spike glycoprotein	SARS-CoV-2
7lww	A	 Spike glycoprotein	SARS-CoV-2
7chh	C	 Spike glycoprotein	SARS-CoV-2
7chh	B	 Spike glycoprotein	SARS-CoV-2
7chh	A	 Spike glycoprotein	SARS-CoV-2
7kl9	C	 Spike glycoprotein	SARS-CoV-2
7kl9	B	 Spike glycoprotein	SARS-CoV-2
7kl9	A	 Spike glycoprotein	SARS-CoV-2
6zp2	C	 Spike glycoprotein	SARS-CoV-2
6zp2	B	 Spike glycoprotein	SARS-CoV-2
6zp2	A	 Spike glycoprotein	SARS-CoV-2
7odl	C	 Spike glycoprotein	SARS-CoV-2
7odl	B	 Spike glycoprotein	SARS-CoV-2
7odl	A	 Spike glycoprotein	SARS-CoV-2
7od3	C	 Spike glycoprotein	SARS-CoV-2
7od3	B	 Spike glycoprotein	SARS-CoV-2
7od3	A	 Spike glycoprotein	SARS-CoV-2
7cac	C	 Spike glycoprotein	SARS-CoV-2
7cac	B	 Spike glycoprotein	SARS-CoV-2
7cac	A	 Spike glycoprotein	SARS-CoV-2
7ns6	N	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ns6	L	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ns6	J	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ns6	M	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ns6	K	 Spike glycoprotein,Fibritin	SARS-CoV-2
7ns6	I	 Spike glycoprotein,Fibritin	SARS-CoV-2
7e8c	C	 Spike glycoprotein	SARS-CoV-2
7e8c	B	 Spike glycoprotein	SARS-CoV-2
7e8c	A	 Spike glycoprotein	SARS-CoV-2
7sn3	C	 Spike glycoprotein	SARS-CoV-2
7sn3	B	 Spike glycoprotein	SARS-CoV-2
7sn3	A	 Spike glycoprotein	SARS-CoV-2
7sn2	A	 Spike glycoprotein	SARS-CoV-2
7lwq	C	 Spike glycoprotein	SARS-CoV-2
7lwq	B	 Spike glycoprotein	SARS-CoV-2
7lwq	A	 Spike glycoprotein	SARS-CoV-2
7lwp	C	 Spike glycoprotein	SARS-CoV-2
7lwp	B	 Spike glycoprotein	SARS-CoV-2
7lwp	A	 Spike glycoprotein	SARS-CoV-2
7lwo	C	 Spike glycoprotein	SARS-CoV-2
7lwo	B	 Spike glycoprotein	SARS-CoV-2
7lwo	A	 Spike glycoprotein	SARS-CoV-2
7lwn	C	 Spike glycoprotein	SARS-CoV-2
7lwn	B	 Spike glycoprotein	SARS-CoV-2
7lwn	A	 Spike glycoprotein	SARS-CoV-2
7lwm	C	 Spike glycoprotein	SARS-CoV-2
7lwm	B	 Spike glycoprotein	SARS-CoV-2
7lwm	A	 Spike glycoprotein	SARS-CoV-2
7lwl	C	 Spike glycoprotein	SARS-CoV-2
7lwl	B	 Spike glycoprotein	SARS-CoV-2
7lwl	A	 Spike glycoprotein	SARS-CoV-2
7lwk	C	 Spike glycoprotein	SARS-CoV-2
7lwk	B	 Spike glycoprotein	SARS-CoV-2
7lwk	A	 Spike glycoprotein	SARS-CoV-2
7lwj	C	 Spike glycoprotein	SARS-CoV-2
7lwj	B	 Spike glycoprotein	SARS-CoV-2
7lwj	A	 Spike glycoprotein	SARS-CoV-2
7lwi	C	 Spike glycoprotein	SARS-CoV-2
7lwi	B	 Spike glycoprotein	SARS-CoV-2
7lwi	A	 Spike glycoprotein	SARS-CoV-2
7faf	C	 Spike glycoprotein	SARS-CoV-2
7faf	B	 Spike glycoprotein	SARS-CoV-2
7faf	A	 Spike glycoprotein	SARS-CoV-2
7fae	C	 Spike glycoprotein	SARS-CoV-2
7fae	B	 Spike glycoprotein	SARS-CoV-2
7fae	A	 Spike glycoprotein	SARS-CoV-2
7v87	A	 Spike glycoprotein	SARS-CoV-2
7v86	C	 Spike glycoprotein	SARS-CoV-2
7v86	B	 Spike glycoprotein	SARS-CoV-2
7v86	A	 Spike glycoprotein	SARS-CoV-2
7v85	C	 Spike glycoprotein	SARS-CoV-2
7v85	B	 Spike glycoprotein	SARS-CoV-2
7v85	A	 Spike glycoprotein	SARS-CoV-2
7v7j	F	 Spike glycoprotein	SARS-CoV-2
7v7j	E	 Spike glycoprotein	SARS-CoV-2
7v7j	D	 Spike glycoprotein	SARS-CoV-2
7v7j	C	 Spike glycoprotein	SARS-CoV-2
7v7j	B	 Spike glycoprotein	SARS-CoV-2
7v7j	A	 Spike glycoprotein	SARS-CoV-2
7v7i	F	 Spike glycoprotein	SARS-CoV-2
7v7i	E	 Spike glycoprotein	SARS-CoV-2
7v7i	D	 Spike glycoprotein	SARS-CoV-2
7v7i	C	 Spike glycoprotein	SARS-CoV-2
7v7i	B	 Spike glycoprotein	SARS-CoV-2
7v7i	A	 Spike glycoprotein	SARS-CoV-2
7v7h	F	 Spike glycoprotein	SARS-CoV-2
7v7h	E	 Spike glycoprotein	SARS-CoV-2
7v7h	D	 Spike glycoprotein	SARS-CoV-2
7v7h	C	 Spike glycoprotein	SARS-CoV-2
7v7h	B	 Spike glycoprotein	SARS-CoV-2
7v7h	A	 Spike glycoprotein	SARS-CoV-2
7v7g	C	 Spike glycoprotein	SARS-CoV-2
7v7g	B	 Spike glycoprotein	SARS-CoV-2
7v7g	A	 Spike glycoprotein	SARS-CoV-2
7v7f	C	 Spike glycoprotein	SARS-CoV-2
7v7f	B	 Spike glycoprotein	SARS-CoV-2
7v7f	A	 Spike glycoprotein	SARS-CoV-2
7v7e	C	 Spike glycoprotein	SARS-CoV-2
7v7e	B	 Spike glycoprotein	SARS-CoV-2
7v7e	A	 Spike glycoprotein	SARS-CoV-2
7v7d	C	 Spike glycoprotein	SARS-CoV-2
7v7d	B	 Spike glycoprotein	SARS-CoV-2
7v7d	A	 Spike glycoprotein	SARS-CoV-2
7tat	C	 Spike glycoprotein	SARS-CoV-2
7tat	B	 Spike glycoprotein	SARS-CoV-2
7tat	A	 Spike glycoprotein	SARS-CoV-2
7tas	E	 Spike glycoprotein	SARS-CoV-2
7ral	B	 Spike glycoprotein	SARS-CoV-2
7ra8	E	 Spike glycoprotein	SARS-CoV-2
7ra8	B	 Spike glycoprotein	SARS-CoV-2
7ra8	A	 Spike glycoprotein	SARS-CoV-2
7r7n	E	 Spike glycoprotein	SARS-CoV-2
7p7b	C	 Spike glycoprotein	SARS-CoV-2
7p7b	B	 Spike glycoprotein	SARS-CoV-2
7p7b	A	 Spike glycoprotein	SARS-CoV-2
7p7a	E	 Spike glycoprotein	SARS-CoV-2
7p7a	C	 Spike glycoprotein	SARS-CoV-2
7p7a	B	 Spike glycoprotein	SARS-CoV-2
7n0h	C	 Spike glycoprotein	SARS-CoV-2
7n0h	B	 Spike glycoprotein	SARS-CoV-2
7n0h	A	 Spike glycoprotein	SARS-CoV-2
7n0g	C	 Spike glycoprotein	SARS-CoV-2
7n0g	B	 Spike glycoprotein	SARS-CoV-2
7n0g	A	 Spike glycoprotein	SARS-CoV-2
7my3	B	 Spike glycoprotein	SARS-CoV-2
7my3	C	 Spike glycoprotein	SARS-CoV-2
7my3	A	 Spike glycoprotein	SARS-CoV-2
7my2	E	 Spike glycoprotein	SARS-CoV-2
7my2	C	 Spike glycoprotein	SARS-CoV-2
7my2	B	 Spike glycoprotein	SARS-CoV-2
7m6g	C	 Spike glycoprotein	SARS-CoV-2
7m6g	B	 Spike glycoprotein	SARS-CoV-2
7m6g	A	 Spike glycoprotein	SARS-CoV-2
7m6f	E	 Spike glycoprotein	SARS-CoV-2
7m6f	B	 Spike glycoprotein	SARS-CoV-2
7m6f	A	 Spike glycoprotein	SARS-CoV-2
7m6e	E	 Spike glycoprotein	SARS-CoV-2
7m6e	B	 Spike glycoprotein	SARS-CoV-2
7m6e	A	 Spike glycoprotein	SARS-CoV-2
7ly2	J	 Spike glycoprotein	SARS-CoV-2
7ly2	B	 Spike glycoprotein	SARS-CoV-2
7ly2	A	 Spike glycoprotein	SARS-CoV-2
7ly0	A	 Spike glycoprotein	SARS-CoV-2
7lxz	K	 Spike glycoprotein	SARS-CoV-2
7lxz	B	 Spike glycoprotein	SARS-CoV-2
7lxz	A	 Spike glycoprotein	SARS-CoV-2
7lxy	J	 Spike glycoprotein	SARS-CoV-2
7lxy	B	 Spike glycoprotein	SARS-CoV-2
7lxy	A	 Spike glycoprotein	SARS-CoV-2
7lxx	A	 Spike glycoprotein	SARS-CoV-2
7lxw	A	 Spike glycoprotein	SARS-CoV-2
7k90	C	 Spike glycoprotein	SARS-CoV-2
7k90	B	 Spike glycoprotein	SARS-CoV-2
7k90	A	 Spike glycoprotein	SARS-CoV-2
7k4n	E	 Spike glycoprotein	SARS-CoV-2
7k4n	B	 Spike glycoprotein	SARS-CoV-2
7k4n	A	 Spike glycoprotein	SARS-CoV-2
7k45	B	 Spike glycoprotein	SARS-CoV-2
7jzu	B	 Spike glycoprotein	SARS-CoV-2
7jzn	C	 Spike glycoprotein	SARS-CoV-2
7jzn	B	 Spike glycoprotein	SARS-CoV-2
7jzn	A	 Spike glycoprotein	SARS-CoV-2
7jzm	B	 Spike glycoprotein	SARS-CoV-2
7jzl	B	 Spike glycoprotein	SARS-CoV-2
7jzl	C	 Spike glycoprotein	SARS-CoV-2
7jzl	A	 Spike glycoprotein	SARS-CoV-2
6xkl	C	 Spike glycoprotein	SARS-CoV-2
6xkl	B	 Spike glycoprotein	SARS-CoV-2
6xkl	A	 Spike glycoprotein	SARS-CoV-2
7vxi	C	 Spike glycoprotein	SARS-CoV-2
7vxi	B	 Spike glycoprotein	SARS-CoV-2
7vxi	A	 Spike glycoprotein	SARS-CoV-2
7vxe	C	 Spike glycoprotein	SARS-CoV-2
7vxe	B	 Spike glycoprotein	SARS-CoV-2
7vxe	A	 Spike glycoprotein	SARS-CoV-2
7vxc	B	 Spike glycoprotein	SARS-CoV-2
7vxc	A	 Spike glycoprotein	SARS-CoV-2
7vxc	D	 Spike glycoprotein	SARS-CoV-2
7vxb	B	 Spike glycoprotein	SARS-CoV-2
7vxb	A	 Spike glycoprotein	SARS-CoV-2
7vxb	D	 Spike glycoprotein	SARS-CoV-2
7vxa	B	 Spike glycoprotein	SARS-CoV-2
7vxa	A	 Spike glycoprotein	SARS-CoV-2
7vxa	D	 Spike glycoprotein	SARS-CoV-2
7vx5	E	 Spike glycoprotein	SARS-CoV-2
7n9e	C	 Spike glycoprotein	SARS-CoV-2
7n9e	B	 Spike glycoprotein	SARS-CoV-2
7n9e	A	 Spike glycoprotein	SARS-CoV-2
7n9c	C	 Spike glycoprotein	SARS-CoV-2
7n9c	B	 Spike glycoprotein	SARS-CoV-2
7n9c	A	 Spike glycoprotein	SARS-CoV-2
7n9b	C	 Spike glycoprotein	SARS-CoV-2
7n9b	B	 Spike glycoprotein	SARS-CoV-2
7n9b	A	 Spike glycoprotein	SARS-CoV-2
7lx5	B	 Spike glycoprotein	SARS-CoV-2
7cab	C	 Spike glycoprotein	SARS-CoV-2
7cab	B	 Spike glycoprotein	SARS-CoV-2
7cab	A	 Spike glycoprotein	SARS-CoV-2
7tld	C	 Spike glycoprotein	SARS-CoV-2
7tld	B	 Spike glycoprotein	SARS-CoV-2
7tld	A	 Spike glycoprotein	SARS-CoV-2
7tlc	C	 Spike glycoprotein	SARS-CoV-2
7tlc	B	 Spike glycoprotein	SARS-CoV-2
7tlc	A	 Spike glycoprotein	SARS-CoV-2
7mjn	B	 Spike glycoprotein	SARS-CoV-2
7mjm	C	 Spike glycoprotein	SARS-CoV-2
7mjm	B	 Spike glycoprotein	SARS-CoV-2
7mjm	A	 Spike glycoprotein	SARS-CoV-2
7mjl	A	 Spike glycoprotein	SARS-CoV-2
7mjk	C	 Spike glycoprotein	SARS-CoV-2
7mjk	B	 Spike glycoprotein	SARS-CoV-2
7mjk	A	 Spike glycoprotein	SARS-CoV-2
7mjj	C	 Spike glycoprotein	SARS-CoV-2
7mjj	B	 Spike glycoprotein	SARS-CoV-2
7mjj	A	 Spike glycoprotein	SARS-CoV-2
7mji	B	 Spike glycoprotein	SARS-CoV-2
